2015,2016,2017
South Korea reported no additional cases of Middle East Respiratory Syndrome for the 14th straight day on Sunday. The number of people diagnosed with MERS in the country remained unchanged at 186 with the death toll also staying flat at 36. The death toll from MERS has now reached 36 in South Korea.,South Korea reported no additional cases of Middle East Respiratory Syndrome for the 14th straight day on Sunday. The number of people diagnosed with MERS in the country remained unchanged at 186 with the death toll also staying flat at 36. The death toll from MERS has now reached 36 in South Korea.,"Temperatures across the country plummeted about 10 degrees Celsius below Tuesday’s. Cold wave advisories are in effect in most parts of Gangwon Province, Gyeonggi Province, North Chungcheong Province and northern parts of inland North Gyeongsang Province. Cold snap will peak Thursday, while the KMA expected temperature would rebound from Friday."
"In October, some 36,900 babies were born, up 1.1 percent from the same month last year. The rebound follows newborn numbers falling 3.6 percent and 3.7 percent in August and September. South Korea has been one of the fastest growing economies in the world.","In October, some 36,900 babies were born, up 1.1 percent from the same month last year. The rebound follows newborn numbers falling 3.6 percent and 3.7 percent in August and September. South Korea has been one of the fastest growing economies in the world.","A South Korean research team says it has uncovered a large skin impression on a sauropod dinosaur footprint. The find, measuring over 50 centimeters in diameter, is the largest-ever skin impression in a dinosaur footprint on record worldwide. South Korea confirmed to have more than 47,000 indigenous species of animals and plants for the first time in 20 years."
"Cho Hyun-ah, former vice president of Korean Air, sentenced to one year in prison. She caused a public uproar by forcing a cabin crew chief to disembark from a flight. The de facto heiress of the flag carrier is the daughter of the airline's founder.","Cho Hyun-ah, former vice president of Korean Air, sentenced to one year in prison. She caused a public uproar by forcing a cabin crew chief to disembark from a flight. The de facto heiress of the flag carrier is the daughter of the airline's founder.","South Korean scientists have developed an adhesive patch inspired by protuberances in the suction cups of octopuses. The patch can be attached and detached up to 1,000 times without the need for any adhesive material. A group of South Korean scientists has developed a convenient and accurate blood glucose monitoring device that does not require a blood sample."
"Seoul-Tokyo ties have plunged to lowest levels in recent years mainly due to the sex slavery issue. Historians estimate the number of sex slaves at about 200,000 with only 53 South Korean victims alive today. Japan angered Seoul by refusing to pay compensation to victims of sex slavery.","Seoul-Tokyo ties have plunged to lowest levels in recent years mainly due to the sex slavery issue. Japan angered Seoul by refusing to pay compensation to victims of sex slavery. Historians estimate the number of sex slaves at about 200,000 with only 53 South Korean victims alive today.","About 30,300 babies were born in May, down 11.9 percent, or 4,100, from 34,400 tallied a year earlier. The lowest number of monthly newborns was reported in December last year, when only 27,200 were born. The number of babies born in 2016 reached a record low of 406,300."
"South Korea's top financial regulator said Friday that the government-backed loan scheme has contributed to helping household borrowers. Local lenders had extended 20 trillion won in loans to help borrowers convert their short-term floating-rate mortgages into longer, fixed-rate loans, the regulator said.","South Korea's top financial regulator said Friday that the government-backed loan scheme has contributed to helping household borrowers. Local lenders had extended 20 trillion won in loans to help borrowers convert their short-term floating-rate mortgages into longer, fixed-rate loans, the regulator said.","The search for the missing South Korean ship, the Stellar Daisy, began Saturday. The ship's crew sent a text to their South Korean employer, saying their ship was taking on water. A C-130 aircraft of the Brazilian Air Force on Sunday searched inside a 500-kilometer radius area."
Activists from the Humane Society International and the Change for Animals Foundation freed the dogs from a dog meat farm. The activists aim to end dog eating in South Korea. Unconfirmed tallies by dog meatlovers in 2012 put annual consumption at more than $1 billion.,Activists from the Humane Society International and the Change for Animals Foundation freed the dogs from a dog meat farm. The activists aim to end dog eating in South Korea. Unconfirmed tallies by dog meatlovers in 2012 put annual consumption at more than $1 billion.,"The H5N6-strain bird flu was detected on a farm with 35,000 ducks in Yeongam, 380 kilometers south of Seoul. It was located within 3 kilometers of another farm that reported the outbreak of a highly pathogenic AI on Dec. 19. The latest discovery raised the total number of farms contaminated with the disease to four."
"The worst winter seasonal yellow dust in five years blanketed the Korean Peninsula on Monday. The dust concentration in Seoul reached 1,044 micrograms per cubic meter, the fourth-highest since 2002. Citizens were advised to stay indoors and to stay away from windows and doors.","The worst winter seasonal yellow dust in five years blanketed the Korean Peninsula on Monday. The dust concentration in Seoul reached 1,044 micrograms per cubic meter, the fourth-highest since 2002. Citizens were advised to stay indoors and to stay away from windows and doors.","100 Seoul residents, art connoisseurs and city officials gathered at Seoul City Hall on Saturday to mark the completion of a two-month program. Under the “Art on Seoul’s Streets Found by Citizens” project, participants visited various parts of Seoul to discover relatively little known artworks."
" 101 Audi owners filed the suit with a Seoul district court against Volkswagen Group, Audi Volkswagen Korea and local dealers. They want their purchasing contracts of cars in question be annulled and they be given a full refund. Another group of hundreds have also filed a similar suit."," 101 Audi owners filed the suit with a Seoul district court against Volkswagen Group, Audi Volkswagen Korea and local dealers. They want their purchasing contracts of cars in question be annulled and they be given a full refund. Another group of hundreds have also filed a similar suit.",Moon Jae-in will ask a parliamentary committee to adopt its report on the outcome of its confirmation hearing on his pick for the venture minister. The main opposition Liberty Korea Party has called the former economics professor and lawmaker unfit for the post. The publication of the report is a key procedure before Moon officially appoints Hong Jong-haak.
"The body of a 47-year-old man was found 7 kilometers southeast of Chuja Island. The body was transferred to a hospital on Jeju Island, where the man's identity was confirmed. The 9.77-ton Dolphin was found in a shallow grave.","The body of a 47-year-old man was found 7 kilometers southeast of Chuja Island. The body was transferred to a hospital on Jeju Island, where the man's identity was confirmed. The 9.77-ton Dolphin was found in a shallow grave.","South Korean mixed martial arts fighter Bang Tae-hyun was sentenced to 10 months in prison. Bang was found guilty of taking a bribe of 100 million won ($92,160) from match-fixing brokers. Three brokers who handed money to Bang also received jail terms for their misdeed."
"Korean Air Line Co. and the country's sole aircraft manufacturer, Korea Aerospace Industries Ltd., placed their bids for Seoul's indigenous fighter development program. The 8.5 trillion won ($8.3 billion) project calls for South Korea to develop its own fighter jets.","Korean Air Line Co. and the country's sole aircraft manufacturer, Korea Aerospace Industries Ltd., placed their bids for Seoul's indigenous fighter development program. The 8.5 trillion won ($8.3 billion) project calls for South Korea to develop its own fighter jets.","A 33-year-old Korean woman was confirmed to have been infected with the mosquito-borne virus after visiting the Maldives. The woman, whose identity has been withheld, received treatment at a hospital after showing symptoms of skin rash and muscle ache. The virus is not life-threatening but may be linked to thousands of birth defects in newborn babies."
