2015,label2015,freq2015,2016,label2016,freq2016,2017,label2017,freq2017
"South Korea reported no additional cases of Middle East Respiratory Syndrome for the 14th straight day on Sunday. The number of people diagnosed with MERS in the country remained unchanged at 186 with the death toll also staying flat at 36. The disease has claimed over 530 lives globally, posting a fatality rate of over 36 percent.",2957,6,"Radio Pyongyang, the North's state-run radio station, started broadcasting messages at 1:15 a.m. The content was the same as those transmitted in the early hours of Dec. 16. Broadcasts of mysterious numbers are considered a kind of book cipher. Spies could decode numbers to get orders by using a reference book.",16,5,"Temperatures across the country plummeted about 10 degrees Celsius below Tuesday’s. Cold wave advisories are in effect in most parts of Gangwon Province, Gyeonggi Province, North Chungcheong Province and northern parts of inland North Gyeongsang Province. Cold snap will peak Thursday, while the KMA expected temperature would rebound from Friday.",67,11
"In October, some 36,900 babies were born, up 1.1 percent from the same month last year. The rebound follows newborn numbers falling 3.6 percent and 3.7 percent in August and September. South Korea has been trying to push up its birthrate to prevent a decline in the national workforce.",132,5,"Some 200 chickens were found dead on Monday morning in Eumseong, South Chungcheong Province. A total of 15 poultry farms were confirmed with AI cases, while eight other farms are under examination. This is the first time that South Korea has reported an outbreak of the H5N6 strain of bird flu.",518,4,"A South Korean research team says it has uncovered a large skin impression on a sauropod dinosaur footprint. The find, measuring over 50 centimeters in diameter, is the largest-ever skin impression in a dinosaur footprint on record worldwide. South Korea confirmed to have more than 47,000 indigenous species of animals and plants for the first time in 20 years.",617,7
"Cho Hyun-ah, former vice president of Korean Air, sentenced to one year in prison. She caused a public uproar by forcing a cabin crew chief to disembark from a flight. The de facto heiress of the flag carrier was found to have ordered the taxiing plane to return to the gate.",6018,4,Voter turnout in South Korea’s parliamentary election stood at 46.5 percent as of 3 p.m. The official voter turnout is higher than the previous general elections in 2012. It also marks the highest turnout in 12 years since 63.9 percent was recorded in the parliamentary elections in 1996.,5095,4,"South Korean scientists have developed an adhesive patch inspired by protuberances in the suction cups of octopuses. The patch can be attached and detached up to 1,000 times without the need for any adhesive material. A group of South Korean scientists has developed a convenient and accurate blood glucose monitoring device that does not require a blood sample.",4735,5
"Seoul-Tokyo ties have plunged to lowest levels in recent years mainly due to the sex slavery issue. Historians estimate the number of sex slaves at about 200,000 with only 53 South Korean victims alive today. Japan angered Seoul and Beijing by saying that its 1993 apology was the outcome of a political compromise.",5457,4,Walkway along Deoksu Palace in downtown Seoul will be restored 132 years after it was cut off by the construction of the British Embassy in Korea. Seoul Metropolitan Government will restore the 170-meter-long sidewalk along the stonewall of the Joseon Dynasty (1392-1910) palace at the embassy compound.,705,3,"About 30,300 babies were born in May, down 11.9 percent, or 4,100, from 34,400 tallied a year earlier. The lowest number of monthly newborns was reported in December last year, when only 27,200 were born. The number of babies born in 2016 reached a record low of 406,300.",3708,5
"South Korea's top financial regulator said Friday that the government-backed loan scheme has contributed to helping household borrowers. Local lenders had extended 20 trillion won in loans to help borrowers convert their short-term floating-rate mortgages into longer, fixed-rate ones. The size and soundness of household borrowing has come under serious question as the amount has ballooned.",5039,4,"Pigs at two swine farms in Nonsan in the central region of South Chungcheong Province tested positive for the highly contagious disease. The quarantine authorities have culled affected animals, and placed a travel ban on animals and vehicles. FMD is a ""List A"" disease as designated by the Paris-based World Organization for Animal Health.",5782,3,"The search for the missing South Korean ship, the Stellar Daisy, began Saturday. The ship's crew sent a text to their South Korean employer, saying their ship was taking on water. A C-130 aircraft of the Brazilian Air Force on Sunday searched inside a 500-kilometer radius area.",6654,4
Activists from the Humane Society International and the Change for Animals Foundation freed the dogs from a dog meat farm. Debate persists over whether recognizing dog as food would protect the eaters or the dogs. Unconfirmed tallies by dog meatlovers in 2012 put annual consumption at 2 million dogs.,3617,3,"Suh Ye-won is the director of the state-run National Research Center for Gifted and Talented Education. She says gifted education can achieve a true sense of equal opportunity. Critics blame the gifted schools for creating the public fervor over private education. There are currently 2,524 classes for the gifted in schools across the country.",7166,3,"The H5N6-strain bird flu was detected on a farm with 35,000 ducks in Yeongam, 380 kilometers south of Seoul. It was located within 3 kilometers of another farm that reported the outbreak of a highly pathogenic AI on Dec. 19. The latest discovery raised the total number of farms contaminated with the disease to four.",5,4
"The worst winter seasonal yellow dust in five years blanketed the Korean Peninsula on Monday. The dust concentration in Seoul reached 1,044 micrograms per cubic meter, the fourth-highest since 2002. Citizens were advised to stay indoors and wear protective glasses and masks in case of outdoor activities.",5864,3,North Korea renewed its calls for peace treaty talks with the U.S. to formally end the Korean War. The two sides failed to reach an agreement as Washington insisted that denuclearization should be the top priority for such talks. South Korea's foreign ministry said there is no change in Washington's stance over the issue.,6234,3,"100 Seoul residents, art connoisseurs and city officials gathered at Seoul City Hall on Saturday to mark the completion of a two-month program. Under the “Art on Seoul’s Streets Found by Citizens” project, participants visited various parts of Seoul to discover relatively little known artworks.",4112,3
" 101 Audi owners filed the suit with a Seoul district court against Volkswagen Group, Audi Volkswagen Korea and local dealers. They want their purchasing contracts of cars in question be annulled and they be given a full refund. About 50 people who own Passat models, made at a U.S.-based production facility in Tennessee, will file a class action lawsuit.",1224,3,"Some 1.7 million people gathered in central Seoul to demand President Park Geun-hye step down on Saturday. A total of 620,000 South Koreans gathered for candlelight vigils in other parts of the country. This is the sixth week of major protests against the president, who is suspected of extorting donations from conglomerates.",431,3,Moon Jae-in will ask a parliamentary committee to adopt its report on the outcome of its confirmation hearing on his pick for the venture minister. The main opposition Liberty Korea Party has called the former economics professor and lawmaker unfit for the post. The publication of the report is a key procedure before Moon officially appoints Hong Jong-haak.,911,3
"The body of a 47-year-old man was found 7 kilometers southeast of Chuja Island. The body was transferred to a hospital on Jeju Island, where the man's identity was confirmed. The 9.77-ton Dolphin capsized on Sept. 5 in the waters north of Jeju.",1840,3,"South Korea on Thursday released a set of measures to reduce its citizens’ sugar consumption. Almost half of young Koreans aged 3-29 are eating too much sugar, leaving them vulnerable to obesity and diabetes. The measures include requiring all local food-makers to openly share their products' sugar levels.",4376,2,"South Korean mixed martial arts fighter Bang Tae-hyun was sentenced to 10 months in prison. Bang was found guilty of taking a bribe of 100 million won ($92,160) from match-fixing brokers. Three brokers who handed money to Bang also received jail terms for their misdeed.",813,3
The 8.5 trillion won ($8.3 billion) project calls for South Korea to develop fighter jets of the F-16 class. Some 120 jets are to be put into service starting around 2025. Korean Air Line Co. plans to sign a partnership agreement with Europe's Airbus this week.,5854,3,"The ejection test of a KN-11 missile from a submerged submarine took place on Dec. 21. It followed a Nov. 28 test in which a missile failed to leave the water. The failure damaged the North's first missile submarine, which officials identified as the Gorae.",7255,2,"A 33-year-old Korean woman was confirmed to have been infected with the mosquito-borne virus after visiting the Maldives. The woman, whose identity has been withheld, received treatment at a hospital after showing symptoms of skin rash and muscle ache. The virus is not life-threatening but may be linked to thousands of birth defects in newborn babies.",5035,3
A crane undergoing deconstruction collapsed at a shipyard in Busan on Wednesday killing four workers. The authorities believe that the workers were in the process of detaching the machine room from the 40-ton crane. The police plans to question witnesses and officials of the contractor to determine whether safety protocols were followed.,6487,3,"Chief of Staff Gen. Jang Jun-gyu will be in Japan on April 17 and 18. He will hold a meeting with Gen. Kiyofumi Iwata, the head of Japan's Ground Self-Defense Force. The talks will be the first of their kind since January 2008.",5203,2,The North's propaganda station Radio Pyongyang began broadcasting the messages at 1:15 a.m. (Seoul time) The latest batch of numbers are different from those that have been aired to date. It marked the 32nd time that Pyongyang has broadcast encrypted numbers since June 2016.,6416,3
"The government's decision to allow the construction of a second cable car route on Mount Seoraksan last week drew mixed reactions. The cable car will start running from February 2018 when the PyeongChang Winter Olympics are held. The project aims at boosting the local economy and improving service for visitors, officials said.",2169,3,The military will spend a total of 226.5 trillion won ($196.7 billion) from 2017 to 2021. The annual announced five-year plan was scaled down by 6 trillion won from the 2016-20 version revealed last year. Ground-to-ground munitions are directed to strike the North’s recently revealed 300-millimeter caliber multiple rocket launcher.,5446,2,"The latest cases raise to 29 the number of contaminated farms in South Korea. Ministry of Agriculture, Food and Rural Affairs said it has completed inspections on 1,239 egg farms. Fipronil is used to control ants, cockroaches and other insects, while bifenthrin is used on various agricultural crops.",3142,2
"China launched the Asian Infrastructure Investment Bank in November. 21 nations in Asia and the Pacific region listed as its founding members. Close U.S. allies in the region -- South Korea, Australia and Japan -- have yet to make their decision. South Korean diplomatic source says Seoul is ""positively"" considering joining the AIIB.",5368,3,"President Park Geun-hye is set to earn 212 million won ($179,000) this year. Prime Minister Hwang Kyo-ahn will receive 164 million won, up 3.4 percent from a year earlier. Cabinet ministers will earn 120 million won while vice ministers will receive 117 million won.",7263,2,"Kori 4 reactor shut down at 5:11 a.m. after there was a rise in coolant levels in a collection tank. No radiation leaks have been reported, the KHNP said. South Korea operates 23 nuclear reactors that generate about 30 percent of its overall electricity supply.",6911,2
A South Korean civic group visited North Korea on Thursday to discuss preparations for a joint event for the 70th anniversary of Korea's liberation. The move came amid lingering tension between the two Koreas as the North has rejected the South's recent offers for talks. Pyongyang claims that Seoul should first end its confrontational policy toward it.,2867,3,"Severe cold weather prevailed in most parts of the country Friday for the fifth consecutive day. A very cold, high pressure system from northern China has caused temperatures to drop sharply. The current cold spell is expected to culminate on Sunday and Monday, when temperatures are expected to drop below minus 15 degrees Celsius.",6913,2,"Adm. Harry Harris said such efforts should be backed by credible military capability. Harris was in Seoul to observe the allies’ military drill, Ulchi Freedom Guardian, alongside other top US generals. He said diplomatic approach is the “stronger and more powerful’ means to resolve the standoff with North Korea.",3052,2
"The 9.77-ton boat called the Dolgorae, or Dolphin, was found about 6:25 a.m. Sunday. The boat lost contact with another chartered fishing boat about half an hour after it left Chuja. Three people have been rescued and flown by helicopter to a hospital on Jeju.",2072,2,"Victims and members of civic group have dismissed the government’s additional confirmation of 37 victims of toxic humidifier disinfectants. A total of 3,031 cases have been filed as of Friday. RB declined to offer an apology to victims in Korea, according to an official.",2202,2,"President Moon Jae-in formally appointed two new ministers Friday. Paik Un-gyu was appointed the new minister of trade, industry and energy. Park Neung-hoo was appointed as the new health and welfare minister. With the new ministers, the president has filled 17 of the 19 seats of the Cabinet.",3810,2
President Park Geun-hye granted special pardons to thousands of Koreans convicted of minor crimes and millions who received administrative penalties. The president also exercised her special power to pardon 14 high-profile businessmen including SK Group chairman Chey Tae-won. Park has rarely used her right to give clemency ahead of the national holidays.,2514,2,"North Korea is likely to conduct a long-range missile test in an ""abrupt"" manner, the Defense Ministry says. The country has yet to declare a no-sail zone, a sign that no test launch will come in the very near future. The possibility of an imminent North Korean long- range missile launch is growing since the communist country's fourth nuclear test.",6789,2,Choi Jong-kun is a renowned scholar on Northeast Asian security in Seoul. He stressed South Korea badly needs strategic thinking in its relations with allies and neighbors. Choi said South Korea needs to take a quid pro quo approach to any possible renegotiation with the US.,8536,2
U.N. spokesman Stephane Dujarric said talks are underway to set up what would be Ban’s first visit to North Korea. Ban will be the third U.S. secretary-general to visit North Korea after Kurt Waldheim and Boutros Boutros-Ghali. Ban has repeatedly said that he will do everything possible to promote inter-Korean reconciliation.,713,2,"The parties have been locking horns over bills on labor reform, economic revitalization, counterterrorism and North Korea’s human rights. The Minjoo Party has yielded their position and agreed to put to a vote the bills on easing regulations on big conglomerates. The Saenuri Party, in exchange, agreed to make adjustments on the North Korean human rights bill.",6897,2,"US Sen. John McCain said he can't understand why President Donald Trump said he would be ""honored"" to meet with North Korean leader Kim Jong-un. The remark came after Trump made a series of positive comments on the North's leader. McCain expressed concern that such a remark helps the ""prestige"" of the dictator.",5872,2
